Package,Name,Status,Version
Core,"Actions (action)",Disabled,8.7.5
Core,"Aggregator (aggregator)",Disabled,8.7.5
Core,"Automated Cron (automated_cron)",Enabled,8.7.5
Core,"Ban (ban)",Disabled,8.7.5
"Web services","HTTP Basic Authentication (basic_auth)",Disabled,8.7.5
Core,"BigPipe (big_pipe)",Disabled,8.7.5
Core,"Block (block)",Enabled,8.7.5
Core,"Custom Block (block_content)",Enabled,8.7.5
"Core (Experimental)","Place Blocks (block_place)",Disabled,8.7.5
Core,"Book (book)",Disabled,8.7.5
Core,"Breakpoint (breakpoint)",Enabled,8.7.5
Core,"CKEditor (ckeditor)",Enabled,8.7.5
Core,"Color (color)",Enabled,8.7.5
Core,"Comment (comment)",Enabled,8.7.5
Core,"Configuration Manager (config)",Enabled,8.7.5
Multilingual,"Configuration Translation (config_translation)",Disabled,8.7.5
Core,"Contact (contact)",Enabled,8.7.5
Core,"Content Moderation (content_moderation)",Disabled,8.7.5
Multilingual,"Content Translation (content_translation)",Disabled,8.7.5
Core,"Contextual Links (contextual)",Enabled,8.7.5
"Field types","Datetime (datetime)",Enabled,8.7.5
"Field types","Datetime Range (datetime_range)",Disabled,8.7.5
Core,"Database Logging (dblog)",Enabled,8.7.5
Core,"Internal Dynamic Page Cache (dynamic_page_cache)",Enabled,8.7.5
Core,"Text Editor (editor)",Enabled,8.7.5
"Field types","Entity Reference (entity_reference)",Enabled,8.7.5
Core,"Field (field)",Enabled,8.7.5
"Core (Experimental)","Field Layout (field_layout)",Disabled,8.7.5
Core,"Field UI (field_ui)",Enabled,8.7.5
"Field types","File (file)",Enabled,8.7.5
Core,"Filter (filter)",Enabled,8.7.5
Core,"Forum (forum)",Disabled,8.7.5
"Web services","HAL (hal)",Disabled,8.7.5
Core,"Help (help)",Enabled,8.7.5
Core,"History (history)",Enabled,8.7.5
"Field types","Image (image)",Enabled,8.7.5
Core,"Inline Form Errors (inline_form_errors)",Disabled,8.7.5
"Web services","JSON:API (jsonapi)",Disabled,
Multilingual,"Language (language)",Disabled,8.7.5
Core,"Layout Builder (layout_builder)",Disabled,8.7.5
Core,"Layout Discovery (layout_discovery)",Disabled,8.7.5
"Field types","Link (link)",Enabled,8.7.5
Multilingual,"Interface Translation (locale)",Disabled,8.7.5
Core,"Media (media)",Disabled,8.7.5
"Core (Experimental)","Media Library (media_library)",Disabled,8.7.5
Core,"Custom Menu Links (menu_link_content)",Enabled,8.7.5
Core,"Menu UI (menu_ui)",Enabled,8.7.5
Migration,"Migrate (migrate)",Enabled,8.7.5
Migration,"Migrate Drupal (migrate_drupal)",Enabled,8.7.5
"Core (Experimental)","Migrate Drupal Multilingual (migrate_drupal_multilingual)",Disabled,
Migration,"Migrate Drupal UI (migrate_drupal_ui)",Enabled,8.7.5
Core,"Node (node)",Enabled,8.7.5
"Field types","Options (options)",Enabled,8.7.5
Core,"Internal Page Cache (page_cache)",Enabled,8.7.5
Core,"Path (path)",Enabled,8.7.5
Core,"Quick Edit (quickedit)",Enabled,8.7.5
